station,date,prcp,tobs
USC00519397,1/01/2010,2,18.3
USC00519397,2/01/2010,0,17.2
USC00519397,3/01/2010,0,23.3
USC00519397,4/01/2010,0,24.4
USC00519397,6/01/2010,,22.8
USC00519397,7/01/2010,1.5,21.1
USC00519397,8/01/2010,0,17.8
USC00519397,9/01/2010,0,20
USC00519397,10/01/2010,0,22.8
USC00519397,11/01/2010,0.3,17.8
USC00519397,12/01/2010,0,16.1
USC00519397,14/01/2010,0,18.9
USC00519397,15/01/2010,0,18.3
USC00519397,16/01/2010,0,20
USC00519397,17/01/2010,0,17.8
USC00519397,18/01/2010,0,22.2
USC00519397,19/01/2010,0,18.9
USC00519397,20/01/2010,0,18.9
USC00519397,21/01/2010,0,20.6
USC00519397,22/01/2010,0,19.4
USC00519397,23/01/2010,0,19.4
USC00519397,24/01/2010,0.3,21.7
USC00519397,25/01/2010,0,19.4
USC00519397,26/01/2010,1,24.4
USC00519397,27/01/2010,3,20
USC00519397,28/01/2010,0,22.2
USC00519397,30/01/2010,,21.1
USC00519397,31/01/2010,0.8,19.4
USC00519397,1/02/2010,0.3,18.9
USC00519397,3/02/2010,,19.4
USC00519397,4/02/2010,0.3,20.6
USC00519397,5/02/2010,0,19.4
USC00519397,6/02/2010,0,19.4
USC00519397,7/02/2010,0,17.8
USC00519397,8/02/2010,0,20.6
USC00519397,9/02/2010,0,22.8
USC00519397,11/02/2010,0,22.8
USC00519397,12/02/2010,0.5,20.6
USC00519397,13/02/2010,0.3,20.6
USC00519397,14/02/2010,0,20.6
USC00519397,15/02/2010,0,21.7
USC00519397,16/02/2010,0,16.1
USC00519397,17/02/2010,0,20.6
USC00519397,19/02/2010,,17.2
USC00519397,20/02/2010,0.8,17.8
USC00519397,21/02/2010,0,18.3
USC00519397,22/02/2010,0,19.4
USC00519397,23/02/2010,0,20
USC00519397,24/02/2010,0,18.3
USC00519397,25/02/2010,0,24.4
USC00519397,26/02/2010,0,23.9
USC00519397,28/02/2010,0,18.9
USC00519397,1/03/2010,0.3,21.1
USC00519397,2/03/2010,0,22.2
USC00519397,3/03/2010,0,22.8
USC00519397,4/03/2010,3,21.1
USC00519397,5/03/2010,2,21.7
USC00519397,6/03/2010,0.8,22.2
USC00519397,7/03/2010,0,22.2
USC00519397,8/03/2010,10.9,20.6
USC00519397,9/03/2010,1.5,21.1
USC00519397,11/03/2010,,22.8
USC00519397,12/03/2010,0,22.2
USC00519397,13/03/2010,0,22.8
USC00519397,14/03/2010,0,21.1
USC00519397,15/03/2010,1.5,21.7
USC00519397,17/03/2010,0,20
USC00519397,18/03/2010,0,21.1
USC00519397,21/03/2010,0,22.2
USC00519397,22/03/2010,0,20.6
USC00519397,23/03/2010,0,20
USC00519397,24/03/2010,0,23.3
USC00519397,26/03/2010,,22.2
USC00519397,27/03/2010,0,22.2
USC00519397,28/03/2010,0,22.8
USC00519397,29/03/2010,0,23.3
USC00519397,30/03/2010,0,22.8
USC00519397,31/03/2010,0,22.8
USC00519397,1/04/2010,0,23.3
USC00519397,2/04/2010,0.3,23.3
USC00519397,3/04/2010,4.3,23.3
USC00519397,4/04/2010,3.8,21.7
